2,Time,Count,Expected,expected_pmf
1305,,,,
1305,,,,
1306,,,,
1310,,,,
1314,,,,
1315,,,,
1315,,,,
1315,,,,
1315,,,,
1315,,,,
1315,,,,
1315,,,,
1315,,,,
1319,,,,
1320,,,,
1320,,,,
1320,,,,
1320,,,,
1320,,,,
1320,,,,
1320,,,,
1320,,,,
1320,,,,
1320,,,,
1320,,,,
1320,,,,
1320,,,,
1320,,,,
1320,,,,
1320,,,,
1320,,,,
1323,,,,
1324,,,,
1325,,,,
1325,,,,
1325,,,,
1325,,,,
1326,,,,
1326,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1330,,,,
1335,,,,
1337,,,,
1340,,,,
1340,,,,
1340,,,,
1340,,,,
1340,,,,
1340,,,,
1342,,,,
1345,,,,
1345,,,,
1345,,,,
1345,,,,
1345,,,,
1345,,,,
1345,,,,
1345,,,,
1345,,,,
1345,,,,
1345,,,,
1345,,,,
1350,,,,
1350,,,,
1350,,,,
1351,,,,
1353,,,,
1355,,,,
1355,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1400,,,,
1410,,,,
1410,,,,
1410,,,,
1410,,,,
1410,,,,
1410,,,,
1410,,,,
1410,,,,
1411,,,,
1415,,,,
1415,,,,
1415,,,,
1415,,,,
1415,,,,
1415,,,,
1416,,,,
1416,,,,
1420,,,,
1420,,,,
1420,,,,
1420,,,,
1420,,,,
1420,,,,
1420,,,,
1420,,,,
1421,,,,
1425,,,,
1425,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1430,,,,
1433,,,,
1434,,,,
1435,,,,
1435,,,,
1435,,,,
1437,,,,
1440,,,,
1440,,,,
1440,,,,
1440,,,,
1440,,,,
1440,,,,
1440,,,,
1445,,,,
1445,,,,
1445,,,,
1445,,,,
1445,,,,
1445,,,,
1445,,,,
1445,,,,
1445,,,,
1445,,,,
1445,,,,
1445,,,,
1445,,,,
1445,,,,
1445,,,,
1445,,,,
1445,,,,
1450,,,,
1450,,,,
1450,,,,
1450,,,,
1450,,,,
1455,,,,
1455,,,,
1455,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
1500,,,,
